bond_code,bond_name,stock_code,issue_size,rating,maturity_date,convert_price,original_price,listing_date,delist_date,redeem_pct,redeem_days,redeem_window,putback_pct,putback_days,putback_window,revise_pct,revise_days,revise_window,bond_price,convert_value,premium_rate,ytm,remaining_size,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
123060,苏试转债,300416,3.1,AA-,2023-01-13,23.86,23.86,2020-08-17,2023-01-30,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,67.603,,,3.1,112.0,0.4,0.7,1.0,1.5,2.0,2.5,,,,
113594,淳中转债,603516,3.0,A+,2024-04-12,39.37,39.37,2020-08-28,2024-04-12,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,360.96,,,3.0,115.0,0.5,0.7,1.2,1.8,2.2,2.8,,,,
113595,花王转债,603007,3.3,B-,2024-02-27,6.94,6.94,2020-08-18,2024-02-27,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,96.11,,,3.3,,0.5,0.8,1.0,1.5,2.5,3.0,,,,
113593,沪工转债,603131,4.0,A,2026-01-22,21.32,21.32,2020-08-10,2026-01-22,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,94.747,,,4.0,115.0,0.4,0.6,1.2,2.0,2.4,2.8,,,,
127020,中金转债,000060,38.0,AA+,2025-11-26,4.71,4.71,2020-08-14,2025-12-04,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,129.087,,,38.0,110.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
128121,宏川转债,002930,6.7,AA-,2026-07-17,12.65,20.25,2020-08-07,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,123.36,103.557,19.1228,-39.8935,6.7,108.0,0.4,0.6,1.0,1.5,1.8,2.0,,,,
128120,联诚转债,002921,2.6,A,2025-08-18,24.37,24.37,2020-08-17,2025-08-26,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,94.296,,,2.6,112.0,0.5,0.7,1.2,1.8,2.2,2.5,,,,
127019,国城转债,000688,8.5,A+,2025-12-12,21.07,21.07,2020-08-10,2025-12-22,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,170.195,,,8.5,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123059,银信转债,300231,3.914,AA-,2026-07-15,9.15,9.91,2020-08-12,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,145.0,138.907,4.3864,-60.7251,3.914,118.0,0.4,0.7,1.0,1.5,2.5,3.5,,,,
123058,欣旺转债,300207,11.2,AA,2021-07-06,21.28,21.28,2020-08-07,2021-07-14,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,130.357,,,11.2,111.0,0.4,0.6,1.0,1.5,1.8,2.0,,,,
128119,龙大转债,002726,9.5,BBB,2026-07-13,4.2,9.56,2020-08-07,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,101.073,80.0,26.3412,45.753,9.5,115.0,0.3,0.6,1.0,1.5,1.8,2.0,,,,
110071,湖盐转债,600929,7.2,AA,2022-07-07,6.6,6.6,2020-07-31,2022-07-07,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,,85.152,,,7.2,110.0,0.3,0.6,1.0,1.5,1.8,2.0,,,,
113592,安20转债,603345,9.0,AA,2021-03-08,115.9,115.9,2020-07-31,2021-03-08,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,,71.631,,,9.0,108.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113036,宁建转债,601789,5.4,AA,2022-04-12,4.86,4.86,2020-08-06,2022-04-12,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,15.0,,120.782,,,5.4,,0.4,0.6,1.0,1.5,1.8,2.0,,,,
128117,道恩转债,002838,3.6,AA-,2025-05-13,29.32,29.32,2020-07-20,2025-05-21,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,81.924,,,3.6,118.0,0.4,0.6,1.0,1.5,2.0,3.0,,,,
128118,瀛通转债,002861,3.0,A+,2024-12-19,27.53,27.53,2020-08-05,2024-12-27,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,56.92,,,3.0,115.0,0.4,0.7,1.2,1.8,3.0,3.5,,,,
113591,胜达转债,603687,5.5,AA-,2023-12-27,14.73,14.73,2020-07-23,2023-12-27,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,,100.136,,,5.5,116.0,0.5,0.7,1.0,1.5,2.5,3.0,,,,
