股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
688576,西山科技,68.82,31.31,15.0,54.12,0.58,14.13,7.99,-9.78,7.79,18.0,75.97,57.35,32.47,25,13,3,4,4.57,2.57
000652,泰达股份,4.28,63.15,63.11,67.64,0.93,13.23,11.05,-6.72,6.12,15.78,4.77,3.3,44.55,31,10,3,4,5.9,3.26
301585,蓝宇股份,31.24,32.49,21.28,51.31,0.63,-0.67,19.94,-11.08,40.94,171.59,48.85,29.62,64.92,27,8,2,4,3.82,2.56
688653,康希通信,13.65,57.94,43.19,-142.35,,12.25,20.57,-10.36,12.87,50.57,17.01,9.7,75.36,27,7,2,4,3.96,2.65
002584,西陇科学,9.19,53.78,43.05,-65.24,,15.89,16.56,-14.39,46.56,151.98,11.68,7.31,59.78,26,23,12,3,4.91,2.7
300151,昌红科技,15.59,83.02,57.45,128.48,0.65,-5.52,13.12,-11.66,12.37,32.47,17.63,11.47,53.71,26,18,11,3,4.29,2.82
301315,威士顿,71.8,63.18,26.57,220.55,0.29,15.53,26.9,-13.42,59.59,178.84,78.05,38.1,104.86,29,17,9,3,6.88,3.29
300552,万集科技,36.8,78.43,50.7,-50.65,,19.99,27.86,-14.33,24.6,114.13,41.5,21.64,91.77,29,16,9,3,7.88,3.57
000716,黑芝麻,6.26,47.13,46.25,518.35,0.09,-16.2,10.08,-8.09,24.23,82.03,8.13,5.55,46.49,30,20,9,3,4.68,3.0
300592,华凯易佰,12.8,51.76,44.66,78.57,0.66,-11.05,11.88,-12.64,14.72,54.13,15.32,9.34,64.03,27,15,9,3,4.41,2.8
