股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
002219,新里程,2.5,84.68,81.8,-165.11,,-0.4,13.64,-8.0,10.17,28.25,3.0,2.03,47.78,29,12,3,5,4.36,2.71
002574,明牌珠宝,6.99,36.91,36.91,-25.8,,55.68,47.93,-12.7,22.53,126.26,9.35,4.09,128.61,35,21,11,13,8.3,3.49
002589,瑞康医药,3.83,57.63,52.3,356.14,0.16,37.77,36.54,-17.61,14.95,122.64,4.69,2.51,86.85,27,12,4,11,5.49,3.23
002172,澳洋健康,4.6,35.22,35.2,65.86,0.53,48.87,35.01,-26.33,22.05,126.38,5.2,2.79,86.38,33,20,7,8,5.53,3.02
600676,交运股份,8.22,84.54,84.54,-220.31,,91.61,22.97,-11.51,10.03,48.81,8.22,3.34,146.11,31,15,5,6,7.28,3.31
002490,山东墨龙,8.22,65.58,44.53,905.68,0.07,157.68,61.38,-14.52,41.55,154.12,9.78,2.75,255.64,29,29,9,15,5.96,2.92
603488,展鹏科技,11.74,34.28,34.28,-47.29,,49.55,24.36,-9.04,12.23,52.58,11.74,5.97,96.65,33,20,9,15,6.23,4.0
001202,炬申股份,19.44,32.4,22.71,41.02,0.79,81.17,26.13,-14.94,20.66,113.18,19.44,9.95,95.38,27,25,8,10,6.99,3.29
002718,友邦吊顶,62.33,80.68,33.97,534.59,0.15,303.95,43.32,-11.62,24.06,80.62,62.33,10.7,482.52,25,14,8,6,3.85,2.73
000593,德龙汇能,15.83,56.77,56.75,171.84,0.33,193.69,24.79,-14.02,19.16,87.19,15.83,4.45,255.73,29,14,5,4,6.01,3.09
603138,海量数据,17.36,51.02,50.06,-50.73,,16.75,14.36,-14.76,14.11,46.92,19.17,11.47,67.13,27,14,6,4,7.01,3.24
002112,三变科技,17.48,51.41,45.81,96.03,0.54,38.18,21.21,-15.97,40.35,209.73,19.43,10.62,82.96,29,24,7,13,5.57,2.94
605186,健麾信息,22.97,31.24,31.24,277.2,0.11,18.59,12.99,-10.29,8.3,32.05,25.0,16.34,53.0,25,14,8,6,3.69,2.58
001255,博菲电气,41.48,35.86,29.47,373.29,0.1,35.38,21.0,-11.76,41.99,157.22,41.48,21.35,94.29,31,22,6,12,5.34,3.2
